oranges | Oranges | Fareway | Navel Orange | 1.4975/lb
pork-chops | Pork Chops | Aldi | Premium Bone-In Assorted Pork Chops, per lb | 2.69/lb
pork-chops | Pork Chops | Fareway | Center Cut Pork Chops | 3.99/lb
pork-chops | Pork Chops | Hy-Vee | Hy-Vee Midwest Pork bone-in assorted chops, $3.99 lb. | 3.99/lb
pork-chops | Pork Chops | Baker's | Kroger Fresh Natural Pork Loin Chops Boneless | 4/lb
pork-chops | Pork Chops | Walmart | Boneless Pork Loin Chops, Family Pack | 4.17/lb
pork-shoulder | Pork Shoulder / Butt | Walmart | Prairie Fresh Pork Shoulder Butt Roast Bone-In | 2.24/lb
pork-shoulder | Pork Shoulder / Butt | Baker's | Pork Shoulder Bone-In | 2.49/lb
pork-shoulder | Pork Shoulder / Butt | Aldi | USDA Premium Boneless Half Butt Pork Roast | 2.99/lb
pork-shoulder | Pork Shoulder / Butt | Hy-Vee | Fresh Pork Shoulder Blade Boston Butt Roast | 2.99/lb
pork-shoulder | Pork Shoulder / Butt | Fareway | Whole Boneless Pork Butt | 2.99/lb
pork-tenderloin | Pork Tenderloin | Aldi | Two-Pack Boneless Pork Tenderloin | 3.59/lb
pork-tenderloin | Pork Tenderloin | Walmart | Prairie Fresh Natural Pork Tenderloin | 3.97/lb
pork-tenderloin | Pork Tenderloin | Hy-Vee | Fresh Boneless Pork Loin Pork Tenderloin | 3.99/lb
pork-tenderloin | Pork Tenderloin | Fareway | Whole Pork Tenderloin | 3.99/lb
pork-tenderloin | Pork Tenderloin | Baker's | Kroger Fresh Natural Pork Tenderloin | 4.99/lb
pork-tenderloin | Pork Tenderloin | Family Fare | Whole Boneless Pork Tenderloin | 5.49/lb
potato-chips | Potato Chips | Aldi | Clancy's Original Potato Chips | 0.179/oz
potato-chips | Potato Chips | Walmart | Great Value Original Potato Chips Party Size | 0.1923/oz
potato-chips | Potato Chips | Hy-Vee | Hy-Vee Wavy Potato Chips | 0.2112/oz
potato-chips | Potato Chips | Baker's | Kroger Classic Potato Chips | 0.2238/oz
potato-chips | Potato Chips | Fareway | Fareway Original Potato Chips | 0.2488/oz
potato-chips | Potato Chips | Family Fare | Ruffles Original Potato Chips 8.5 Oz | 0.4306/oz
powdered-sugar | Powdered Sugar | Aldi | Baker's Corner Powdered Sugar | 0.925/lb
powdered-sugar | Powdered Sugar | Hy-Vee | That's Smart! Powdered Sugar | 0.94/lb
powdered-sugar | Powdered Sugar | Walmart | Great Value Confectioners Powdered Sugar | 0.99/lb
powdered-sugar | Powdered Sugar | Fareway | C&H Premium Cane Powdered Sugar | 2.99/lb
pretzels | Pretzels | Aldi | Clancy's Pretzel Sticks | 0.1369/oz
pretzels | Pretzels | Walmart | Great Value Mini Pretzel Twists | 0.1525/oz
pretzels | Pretzels | Fareway | Shultz Mini Pretzel Twists | 0.1556/oz
pretzels | Pretzels | Hy-Vee | Hy-Vee Tiny Twists Pretzels | 0.1993/oz
protein-bars | Protein Bars | Walmart | Great Value Peanut Butter and Dark Chocolate Protein Bars | 0.528/each
protein-bars | Protein Bars | Hy-Vee | Hy-Vee Chewy Protein Bars Peanut Butter & Dark Chocolate 5-1.42 oz Bars | 0.576/each
protein-bars | Protein Bars | Aldi | Millville Peanut Butter Dark Chocolate Protein Chewy Bars | 0.578/each
protein-bars | Protein Bars | Fareway | CLIF BAR Energy Protein Bars, Chocolate Chip, Non-Gmo 12 oz | 1.298/each
pudding-cups | Pudding Cups | Aldi | Lunch Buddies Chocolate Pudding Cups | 0.2975/each
pudding-cups | Pudding Cups | Walmart | Snack Pack Chocolate and Vanilla Pudding Cups Family Pack | 0.3308/each
pudding-cups | Pudding Cups | Hy-Vee | Hy-Vee Chocolate Pudding 4-3.25 oz Cups | 0.36/each
queso | Queso / Cheese Dip | Aldi | Casa Mamita Salsa Con Queso | 0.1527/oz
