onions | Yellow / Sweet Onions | Walmart | Fresh Yellow Onions, 3 lb Bag | 1.15/lb
onions | Yellow / Sweet Onions | Baker's | Jumbo Yellow Onions | 1.29/lb
onions | Yellow / Sweet Onions | Fareway | Yellow Onions | 1.33/lb
onions | Yellow / Sweet Onions | Aldi | Yellow Onions, 3 lb Bag | 2.39/lb
mustard | Yellow Mustard | Aldi | Burman's Yellow Mustard | 0.0485/oz
mustard | Yellow Mustard | Walmart | Great Value Yellow Mustard Squeeze Bottle | 0.05/oz
mustard | Yellow Mustard | Hy-Vee | That's Smart! Yellow Mustard | 0.0693/oz
mustard | Yellow Mustard | Fareway | Fareway Yellow Mustard | 0.0985/oz
mustard | Yellow Mustard | Baker's | Kroger Yellow Mustard | 0.0995/oz
mustard | Yellow Mustard | Family Fare | Our Family Mustard, Yellow 14 Oz | 0.1207/oz
yogurt | Yogurt | Hy-Vee | Hy-Vee yogurt, 6 oz., $0.39 | 0.065/oz
yogurt | Yogurt | Walmart | Great Value Original Vanilla Low-fat Yogurt | 0.0825/oz
yogurt | Yogurt | Aldi | Friendly Farms Vanilla Nonfat Greek Yogurt | 0.0872/oz
yogurt | Yogurt | Baker's | Kroger Blended Vanilla Low Fat Yogurt | 0.0934/oz
yogurt | Yogurt | Family Fare | Yoplait Low Fat French Vanilla Yogurt 6 Oz | 0.1333/oz
yogurt | Yogurt | Fareway | Fareway Nonfat Plain Greek Yogurt | 0.1562/oz
zucchini | Zucchini / Yellow Squash | Walmart | Fresh Zucchini | 1.52/lb
zucchini | Zucchini / Yellow Squash | Baker's | Zucchini | 1.79/lb
zucchini | Zucchini / Yellow Squash | Hy-Vee | Zucchini Squash | 1.99/lb
zucchini | Zucchini / Yellow Squash | Fareway | Zucchini Squash | 1.99/lb
zucchini | Zucchini / Yellow Squash | Family Fare | Yellow Zucchini/Yellow Squash | 1.99/lb
zucchini | Zucchini / Yellow Squash | Aldi | Zucchini, Package | 2.08/lb
