ground-pork | Ground Pork | Aldi | Never Any! 80/20 Ground Pork | 3.29/lb
ground-pork | Ground Pork | Walmart | Tyson All Natural 85% Lean Ground Pork | 3.41/lb
ground-pork | Ground Pork | Hy-Vee | Hormel Ground Pork 80% Lean 20% Fat | 3.99/lb
ground-pork | Ground Pork | Fareway | 80% Lean 20% Fat Ground Pork | 3.99/lb
ground-pork | Ground Pork | Family Fare | Ground Pork Our Family | 4.49/lb
ground-turkey | Ground Turkey | Aldi | Kirkwood USDA Fresh Ground Turkey 85% Lean 15% Fat | 2.6633/lb
ground-turkey | Ground Turkey | Baker's | Kroger 85/15 Fresh Ground Turkey Tray 3 LB | 3.33/lb
ground-turkey | Ground Turkey | Hy-Vee | Jennie-O Ground Turkey 85% Lean 15% Fat | 4.69/lb
ground-turkey | Ground Turkey | Walmart | Jennie-O Fresh Lean Ground Turkey 93% | 5.46/lb
ground-turkey | Ground Turkey | Fareway | Fareway Ground Turkey | 5.49/lb
ground-turkey | Ground Turkey | Family Fare | Jennie O Ground Turkey 85% Lean / 15% Fat   1 Lb. Tray | 5.99/lb
ground-turmeric | Ground Turmeric | Sam's Club | Member's Mark Ground Turmeric | 0.399/oz
ground-turmeric | Ground Turmeric | Family Fare | Sugar 'N Spice Turmeric Ground 2 Oz | 0.675/oz
ground-turmeric | Ground Turmeric | Walmart | Badia Ground Turmeric, 16 oz | 0.815/oz
ground-turmeric | Ground Turmeric | Aldi | Simply Nature Organic Ground Turmeric | 1.4526/oz
ground-turmeric | Ground Turmeric | Baker's | Simple Truth OrganicÂ® Ground Turmeric Shaker | 1.9559/oz
ground-turmeric | Ground Turmeric | Hy-Vee | Simply Organic Turmeric | 2.937/oz
ground-turmeric | Ground Turmeric | Fareway | McCormick Ground Turmeric 0.95 oz | 3.1474/oz
conditioner | Hair Conditioner | Walmart | Alberto VO5 Strawberries & Cream Conditioner | 0.0746/floz
